,companyname,positionname,salary,city,district,education,workyear,financestage,companysize,industryfield,workdescribe
122,成都小多科技有限公司,中高级测试工程师,10k-20k,成都,高新区,本科,5-10年,A轮,50-150人,"企业服务,数据服务",
123,NAVER China,测试工程师,11k-18k,成都,高新区,本科,3-5年,上市公司,500-2000人,"移动互联网,社交网络",
124,多点Dmall,风控算法工程师,25k-35k,成都,高新区,本科,5-10年,A轮,500-2000人,"电子商务,O2O",
125,教育家网络科技,测试工程师,7k-13k,成都,武侯区,大专,3-5年,天使轮,150-500人,移动互联网,
126,货车帮,Java开发工程师,10k-20k,成都,高新区,本科,3-5年,B轮,2000人以上,"移动互联网,电子商务",
127,开云科技,C++资深服务器开发,15k-25k,成都,高新区,大专,5-10年,A轮,50-150人,"移动互联网,区块链",
128,Target,高级web前端工程师,20K-40K,成都,高新区,本科,5-10年,不需要融资,500-2000人,数据服务 移动互联网,
129,知乎,资深后端开发工程师,20k-40k,成都,双流区,本科,3-5年,D轮及以上,500-2000人,"移动互联网,社交网络",
130,北美省钱快报,初级前端开发工程师,5k-10k,成都,高新区,本科,1-3年,不需要融资,150-500人,移动互联网,
131,美团点评,测试架构师-成都-餐饮生态部,30k-60k,成都,高新区,本科,1年以下,D轮及以上,2000人以上,"移动互联网,O2O",
132,久远银海,机器学习算法工程师,8k-15k,成都,锦江区,本科,1-3年,上市公司,500-2000人,"移动互联网,硬件",
133,成都数之联科技有限公司,算法工程师,10k-20k,成都,高新区,硕士,1-3年,B轮,150-500人,"移动互联网,数据服务",
134,国信优易,中高级功能测试工程师,8k-16k,成都,高新区,本科,3-5年,B轮,500-2000人,数据服务,
135,NAVER China,测试工程师（有开发经验优先）,11k-18k,成都,高新区,本科,3-5年,上市公司,500-2000人,"移动互联网,社交网络",
136,多点Dmall,DBA,15k-25k,成都,高新区,本科,3-5年,A轮,500-2000人,"电子商务,O2O",
137,知乎,后端开发工程师,10k-20k,成都,双流区,本科,1-3年,D轮及以上,500-2000人,"移动互联网,社交网络",
138,美团点评,餐饮生态数据仓库工程师-成都,15k-30k,成都,高新区,本科,1-3年,D轮及以上,2000人以上,"移动互联网,O2O",
139,国信优易,大数据工程师,10k-20k,成都,高新区,本科,1-3年,B轮,500-2000人,数据服务,
140,盘古天矶,测试主管,10k-15k,成都,锦江区,本科,3-5年,未融资,50-150人,"移动互联网,金融",
141,开云科技,C++服务器主程,15k-25k,成都,高新区,大专,5-10年,A轮,50-150人,"移动互联网,区块链",
142,扫回家,Java开发 工程师,6k-9k,成都,锦江区,本科,1-3年,未融资,15-50人,"电子商务,生活服务",
143,梦思特,算法工程师,20k-35k,成都,高新区,本科,3-5年,不需要融资,50-150人,"移动互联网,游戏",
144,原力字节,Java服务端招聘（全栈优先）,15k-25k,成都,高新区,大专,5-10年,天使轮,150-500人,"移动互联网,游戏",
145,新潮传媒,运维工程师,8k-15k,成都,高新区,本科,1-3年,A轮,2000人以上,"移动互联网,广告营销",
146,图丰信息-成都,Web前端开发(Javascript),10k-18k,成都,金牛区,本科,5-10年,不需要融资,50-150人,"移动互联网,数据服务",
147,云和恩墨,golang软件工程师,15k-25k,成都,高新区,大专,1-3年,不需要融资,150-500人,数据服务,
148,天堰科技,运维工程师,6k-9k,成都,高新区,大专,1-3年,上市公司,500-2000人,"医疗健康,教育",
149,千行集团,自动化测试工程师,5k-10k,成都,高新区,大专,1-3年,D轮及以上,150-500人,"移动互联网,电子商务",
150,多点Dmall,大数据工程师（业务方向）,15k-30k,成都,高新区,本科,3-5年,A轮,500-2000人,"电子商务,O2O",
151,美团点评,数据仓库-成都,15k-30k,成都,高新区,本科,3-5年,D轮及以上,2000人以上,"移动互联网,O2O",
152,国信优易,测试架构工程师,10k-20k,成都,高新区,本科,5-10年,B轮,500-2000人,数据服务,
153,盘古天矶,数据分析专员（运营方向）,10k-15k,成都,锦江区,本科,1-3年,未融资,50-150人,"移动互联网,金融",
154,原力字节,游戏Java服务端主程,15k-20k,成都,高新区,大专,3-5年,天使轮,150-500人,"移动互联网,游戏",
155,五舟汉云,php开发工程师,5k-8k,成都,高新区,本科,1-3年,未融资,15-50人,"移动互联网,数据服务",
156,鹏业软件,web前端开发工程师,6k-10k,成都,高新区,大专,不限,未融资,150-500人,"移动互联网,旅游",
157,心吉康,机器学习算法工程师,12k-20k,成都,武侯区,本科,1-3年,A轮,50-150人,"移动互联网,医疗健康",
158,赫尔墨斯,云计算开发工程师,10k-15k,成都,高新区,本科,3-5年,上市公司,50-150人,"移动互联网,其他",
159,未至科技,算法工程师,15k-25k,成都,高新区,本科,1-3年,未融资,15-50人,"移动互联网,硬件",
160,有利网,系统架构师,20k-35k,成都,武侯区,本科,5-10年,不需要融资,2000人以上,金融,
161,货车帮,数据挖掘工程师,18k-32k,成都,高新区,本科,5-10年,B轮,2000人以上,"移动互联网,电子商务",
162,友声科技,软件测试工程师(成都）,4k-8k,成都,高新区,大专,1-3年,未融资,150-500人,移动互联网,
163,网信集团,测试工程师（会java、白盒）,15k-25k,成都,高新区,本科,5-10年,不需要融资,2000人以上,"移动互联网,金融",
164,GARMIN佳明,C/C++车载应用软件开发工程师,10k-15k,成都,高新区,本科,3-5年,上市公司,2000人以上,其他,
165,原力字节,JAVA服务端开发,10k-20k,成都,高新区,大专,3-5年,天使轮,150-500人,"移动互联网,游戏",
166,鹏业软件,大数据开发工程师,10k-15k,成都,高新区,硕士,不限,未融资,150-500人,"移动互联网,旅游",
167,赫尔墨斯,Docker开发工程师,10k-18k,成都,双流区,本科,3-5年,上市公司,50-150人,"移动互联网,其他",
168,有利网,数据建模专员,8k-15k,成都,武侯区,本科,1-3年,不需要融资,2000人以上,金融,
169,GARMIN佳明,C语言软件开发工程师,10k-18k,成都,高新区,本科,1-3年,上市公司,2000人以上,其他,
170,顶呱呱,APP软件测试工程师,7k-10k,成都,武侯区,大专,3-5年,上市公司,2000人以上,金融,
171,瑞数信息,信息安全研究员（逆向分析）,10k-20k,成都,高新区,本科,3-5年,A轮,50-150人,信息安全,
172,网信集团,DBA,10k-20k,成都,高新区,本科,3-5年,不需要融资,2000人以上,"移动互联网,金融",
173,泛微,测试工程师,7k-10k,成都,新都区,本科,3-5年,上市公司,2000人以上,"移动互联网,企业服务",
174,ThoughtWorks,【成都】Java开发工程师,10k-20k,成都,高新区,不限,3-5年,不需要融资,2000人以上,企业服务,
175,西游网,游戏服务器端实习工程师,6k-8k,成都,高新区,不限,不限,不需要融资,50-150人,游戏,
176,股先生金融科技有限公司,运维工程师,5k-10k,成都,高新区,大专,1-3年,不需要融资,500-2000人,"移动互联网,金融",
177,中非网,网络安全工程师,10k-20k,成都,武侯区,大专,3-5年,未融资,500-2000人,"电子商务,企业服务",
178,Remark Holdings,机器视觉算法优化工程师,10k-20k,成都,武侯区,本科,1-3年,上市公司,150-500人,"移动互联网,数据服务",
179,成都三泰控股集团,算法（知识图谱）工程师,15k-30k,成都,金牛区,硕士,5-10年,上市公司,2000人以上,"移动互联网,生活服务",
180,赫尔墨斯,NLP开发工程师,10k-20k,成都,双流区,本科,1-3年,上市公司,50-150人,"移动互联网,其他",
181,有利网,数据分析专员,8k-12k,成都,武侯区,本科,3-5年,不需要融资,2000人以上,金融,
182,GARMIN佳明,Web前端开发工程师,10k-18k,成都,高新区,本科,3-5年,上市公司,2000人以上,其他,
183,顶呱呱,数据运营分析专员,4k-6k,成都,武侯区,大专,1-3年,上市公司,2000人以上,金融,
184,瑞数信息,服务器开发工程师（C/C++ 开发）,10k-20k,成都,高新区,本科,3-5年,A轮,50-150人,信息安全,
185,网信集团,区块链-CTO,30k-60k,成都,高新区,本科,10年以上,不需要融资,2000人以上,"移动互联网,金融",
186,西游网,测试组长,10k-15k,成都,高新区,不限,1-3年,不需要融资,50-150人,游戏,
187,中非网,高级web前端工程师,10k-20k,成都,武侯区,本科,3-5年,未融资,500-2000人,"电子商务,企业服务",
188,Remark Holdings,数据爬虫工程师,10k-15k,成都,武侯区,本科,1-3年,上市公司,150-500人,"移动互联网,数据服务",
189,成都三泰控股集团,APP 后端开发工程师,9k-18k,成都,金牛区,硕士,3-5年,上市公司,2000人以上,"移动互联网,生活服务",
190,宏佑科技,Unity前端开发,10k-20k,成都,高新区,大专,3-5年,未融资,少于15人,游戏,
191,鸿特普惠,风险建模经理,20k-40k,成都,武侯区,本科,3-5年,D轮及以上,2000人以上,金融,
192,科脉技术,高级运维工程师,10k-15k,成都,高新区,大专,3-5年,上市公司,150-500人,移动互联网,
193,联想集团,高级数据挖掘工程师,20k-40k,成都,高新区,硕士,5-10年,上市公司,2000人以上,"移动互联网,数据服务",
