,companyname,positionname,salary,city,district,education,workyear,financestage,companysize,industryfield,workdescribe
72,为辰信安,嵌入式软件工程师,10k-15k,成都,高新区,本科,1-3年,不需要融资,50-150人,"移动互联网,信息安全",
73,鼎桥通信技术有限公司,硬件测试工程师,10k-20k,成都,高新区,本科,不限,不需要融资,500-2000人,硬件,
74,普诺思博科技,嵌入式硬件工程师,6k-8k,成都,郫县,本科,1-3年,不需要融资,15-50人,硬件,
75,普诺思博科技,嵌入式软件工程师,6k-9k,成都,郫县,本科,1-3年,不需要融资,15-50人,硬件,
76,科什科技,硬件研发工程师,3k-6k,成都,青羊区,大专,不限,未融资,15-50人,"移动互联网,数据服务",
77,科石科技,硬件研发工程师,3k-6k,成都,青羊区,不限,不限,不需要融资,15-50人,"数据服务,硬件",
78,立鑫科技,嵌入式软件工程师,8k-12k,成都,双流县,本科,3-5年,未融资,150-500人,信息安全,
79,成都宏盛,嵌入式c开发工程师,5K-10K,成都,郫县,本科,1-3年,不需要融资,500-2000人,电子商务,
80,极米科技,高级硬件工程师,15k-20k,成都,高新区,本科,5-10年,D轮及以上,500-2000人,"电子商务,硬件",
81,东信北邮,嵌入式开发工程师,7k-12k,成都,武侯区,本科,3-5年,未融资,500-2000人,"移动互联网,其他",
82,鼎桥通信技术有限公司,嵌入式开发工程师,10k-20k,成都,高新区,本科,1-3年,不需要融资,500-2000人,硬件,
83,联昇科技,嵌入式工程师（高级）,9k-18k,成都,武侯区,硕士,3-5年,天使轮,15-50人,"硬件,其他",
84,成都卫讯科技,嵌入式开发工程师,8k-12k,成都,高新区,不限,1-3年,不需要融资,15-50人,硬件,
85,杭州国芯,嵌入式软件开发（应用方向）,7k-14k,成都,高新区,本科,1-3年,不需要融资,150-500人,其他,
86,翼比特无人机,嵌入式工程师-无人机,4k-8k,成都,高新区,本科,1-3年,不需要融资,15-50人,其他,
87,阿泰因,嵌入式软件工程师,7k-10k,成都,双流县,本科,3-5年,未融资,50-150人,招聘,
88,成都万山顶峰,嵌入式开发工程师 初级,4k-6k,成都,成华区,本科,1-3年,未融资,少于15人,"移动互联网,硬件",
89,思创优光,嵌入式硬件开发工程师,6k-8k,成都,武侯区,大专,1-3年,未融资,15-50人,硬件,
90,科石科技,嵌入式C语言开发工程师,6k-10k,成都,青羊区,本科,1-3年,不需要融资,15-50人,"数据服务,硬件",
91,立鑫科技,嵌入式硬件工程师,6k-12k,成都,双流县,本科,1-3年,未融资,150-500人,信息安全,
92,极米科技,硬件EMC工程师,8k-15k,成都,高新区,本科,3-5年,D轮及以上,500-2000人,"电子商务,硬件",
93,东信北邮,硬件开发工程师,7k-12k,成都,武侯区,本科,3-5年,未融资,500-2000人,"移动互联网,其他",
94,联昇科技,硬件工程师,8k-15k,成都,武侯区,硕士,3-5年,天使轮,15-50人,"硬件,其他",
95,中科合迅,嵌入式测试工程师,8k-14k,成都,郫县,本科,1-3年,未融资,150-500人,"移动互联网,企业服务",
96,成都迈硕电气有限公司,硬件工程师,4k-8k,成都,高新区,大专,1-3年,未融资,15-50人,"硬件,其他",
97,上丰科技,嵌入式软件开发,7k-10k,成都,郫县,本科,3-5年,C轮,50-150人,"移动互联网,电子商务",
98,成都亿佰特电子科技有限公司,嵌入式软件/高级研发,6k-12k,成都,郫县,大专,1-3年,不需要融资,50-150人,"移动互联网,信息安全",
99,成都金飞凌科技,嵌入式硬件工程师,5k-8k,成都,武侯区,大专,1-3年,未融资,15-50人,"移动互联网,信息安全",
100,成都万山顶峰,单片机嵌入式开发工程师,4k-6k,成都,成华区,大专,1-3年,未融资,少于15人,"移动互联网,硬件",
101,快鱼电子,嵌入式软件开发工程师,8k-15k,成都,高新区,大专,3-5年,未融资,150-500人,"信息安全,硬件",
102,六零加智能科技,嵌入式软件开发工程师,5k-10k,成都,高新区,本科,1-3年,上市公司,150-500人,"移动互联网,医疗健康",
103,臻识科技,C++服务器开发工程师（嵌入式方向）,8k-15k,成都,武侯区,本科,3-5年,A轮,50-150人,移动互联网,
104,舞牛科技,嵌入式c/c++工程师,5k-10k,成都,双流县,本科,1-3年,不需要融资,少于15人,"移动互联网,企业服务",
105,极米科技,嵌入式软件工程师,6k-10k,成都,高新区,本科,1-3年,D轮及以上,500-2000人,"电子商务,硬件",
106,极米科技,硬件测试工程师,6k-9k,成都,高新区,本科,3-5年,D轮及以上,500-2000人,"电子商务,硬件",
107,极米科技,产品经理（硬件）,10k-15k,成都,高新区,本科,3-5年,D轮及以上,500-2000人,"电子商务,硬件",
108,成都迈硕电气有限公司,嵌入式软件工程师,5k-10k,成都,高新区,本科,1-3年,未融资,15-50人,"硬件,其他",
109,上丰科技,硬件开发工程师,10k-12k,成都,郫县,本科,3-5年,C轮,50-150人,"移动互联网,电子商务",
110,成都金飞凌科技,嵌入式软件工程师,7k-10k,成都,武侯区,大专,1-3年,未融资,15-50人,"移动互联网,信息安全",
111,川哈工产研院,嵌入式软件工程师,8k-10k,成都,高新区,大专,1-3年,未融资,50-150人,"硬件,人工智能",
112,川哈工产研院,嵌入式硬件工程师,8k-10k,成都,高新区,大专,1-3年,未融资,50-150人,"硬件,人工智能",
113,西谷物联,硬件工程师,8k-12k,成都,锦江区,大专,3-5年,不需要融资,50-150人,"移动互联网,硬件",
114,天极传媒集团,嵌入式硬件研发工程师,6k-12k,成都,高新区,本科,3-5年,B轮,150-500人,"广告营销,文化娱乐",
115,未至科技,智能硬件产品经理,10k-20k,成都,高新区,本科,3-5年,未融资,15-50人,"移动互联网,硬件",
116,明瑞电子,嵌入式开发（应用层）,6k-12k,成都,青羊区,本科,不限,上市公司,150-500人,"硬件,其他",
